run_name,units1,units2,parameter_count,batchsize,epochs,train_steps,valid_steps,learning_rate,optimizer,scheduler,device,platform,python_version,torch_version,final_valid_accuracy,run_seconds,logdir
u1_64_u2_64_bs_64_ep_3_lr_0p001,64,64,55050,64,3,937,156,0.001,Adam,ReduceLROnPlateau,cuda,Windows-11-10.0.26100-SP0,3.12.13,2.11.0+cu128,0.8529647435897436,6.355865699239075,modellogs\u1_64_u2_64_bs_64_ep_3_lr_0p001
u1_64_u2_128_bs_64_ep_3_lr_0p001,64,128,59850,64,3,937,156,0.001,Adam,ReduceLROnPlateau,cuda,Windows-11-10.0.26100-SP0,3.12.13,2.11.0+cu128,0.86328125,6.121258900500834,modellogs\u1_64_u2_128_bs_64_ep_3_lr_0p001
u1_64_u2_256_bs_64_ep_3_lr_0p001,64,256,69450,64,3,937,156,0.001,Adam,ReduceLROnPlateau,cuda,Windows-11-10.0.26100-SP0,3.12.13,2.11.0+cu128,0.859375,6.109295499511063,modellogs\u1_64_u2_256_bs_64_ep_3_lr_0p001
u1_64_u2_512_bs_64_ep_3_lr_0p001,64,512,88650,64,3,937,156,0.001,Adam,ReduceLROnPlateau,cuda,Windows-11-10.0.26100-SP0,3.12.13,2.11.0+cu128,0.8670873397435898,6.257289099507034,modellogs\u1_64_u2_512_bs_64_ep_3_lr_0p001
u1_128_u2_64_bs_64_ep_3_lr_0p001,128,64,109386,64,3,937,156,0.001,Adam,ReduceLROnPlateau,cuda,Windows-11-10.0.26100-SP0,3.12.13,2.11.0+cu128,0.8626802884615384,6.074213000014424,modellogs\u1_128_u2_64_bs_64_ep_3_lr_0p001
u1_128_u2_128_bs_64_ep_3_lr_0p001,128,128,118282,64,3,937,156,0.001,Adam,ReduceLROnPlateau,cuda,Windows-11-10.0.26100-SP0,3.12.13,2.11.0+cu128,0.8697916666666666,6.10204130038619,modellogs\u1_128_u2_128_bs_64_ep_3_lr_0p001
u1_128_u2_256_bs_64_ep_3_lr_0p001,128,256,136074,64,3,937,156,0.001,Adam,ReduceLROnPlateau,cuda,Windows-11-10.0.26100-SP0,3.12.13,2.11.0+cu128,0.8571714743589743,6.071306699886918,modellogs\u1_128_u2_256_bs_64_ep_3_lr_0p001
u1_128_u2_512_bs_64_ep_3_lr_0p001,128,512,171658,64,3,937,156,0.001,Adam,ReduceLROnPlateau,cuda,Windows-11-10.0.26100-SP0,3.12.13,2.11.0+cu128,0.8644831730769231,6.198748899623752,modellogs\u1_128_u2_512_bs_64_ep_3_lr_0p001
u1_256_u2_64_bs_64_ep_3_lr_0p001,256,64,218058,64,3,937,156,0.001,Adam,ReduceLROnPlateau,cuda,Windows-11-10.0.26100-SP0,3.12.13,2.11.0+cu128,0.8685897435897436,6.1716591995209455,modellogs\u1_256_u2_64_bs_64_ep_3_lr_0p001
u1_256_u2_128_bs_64_ep_3_lr_0p001,256,128,235146,64,3,937,156,0.001,Adam,ReduceLROnPlateau,cuda,Windows-11-10.0.26100-SP0,3.12.13,2.11.0+cu128,0.8659855769230769,6.116590399295092,modellogs\u1_256_u2_128_bs_64_ep_3_lr_0p001
u1_256_u2_256_bs_64_ep_3_lr_0p001,256,256,269322,64,3,937,156,0.001,Adam,ReduceLROnPlateau,cuda,Windows-11-10.0.26100-SP0,3.12.13,2.11.0+cu128,0.8721955128205128,6.222358499653637,modellogs\u1_256_u2_256_bs_64_ep_3_lr_0p001
u1_256_u2_512_bs_64_ep_3_lr_0p001,256,512,337674,64,3,937,156,0.001,Adam,ReduceLROnPlateau,cuda,Windows-11-10.0.26100-SP0,3.12.13,2.11.0+cu128,0.87109375,6.15573750063777,modellogs\u1_256_u2_512_bs_64_ep_3_lr_0p001
u1_512_u2_64_bs_64_ep_3_lr_0p001,512,64,435402,64,3,937,156,0.001,Adam,ReduceLROnPlateau,cuda,Windows-11-10.0.26100-SP0,3.12.13,2.11.0+cu128,0.8683894230769231,6.114724200218916,modellogs\u1_512_u2_64_bs_64_ep_3_lr_0p001
u1_512_u2_128_bs_64_ep_3_lr_0p001,512,128,468874,64,3,937,156,0.001,Adam,ReduceLROnPlateau,cuda,Windows-11-10.0.26100-SP0,3.12.13,2.11.0+cu128,0.8783052884615384,6.150651600211859,modellogs\u1_512_u2_128_bs_64_ep_3_lr_0p001
u1_512_u2_256_bs_64_ep_3_lr_0p001,512,256,535818,64,3,937,156,0.001,Adam,ReduceLROnPlateau,cuda,Windows-11-10.0.26100-SP0,3.12.13,2.11.0+cu128,0.86328125,6.1499029994010925,modellogs\u1_512_u2_256_bs_64_ep_3_lr_0p001
u1_512_u2_512_bs_64_ep_3_lr_0p001,512,512,669706,64,3,937,156,0.001,Adam,ReduceLROnPlateau,cuda,Windows-11-10.0.26100-SP0,3.12.13,2.11.0+cu128,0.8736979166666666,6.2081989999860525,modellogs\u1_512_u2_512_bs_64_ep_3_lr_0p001
